idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
922404,8,Extremely happy,Very good,NA,Once a week,177,63,Male,1999,[NA] Not applicable
922412,8,9,Good,NA,2-3 times a month,172,67,Female,1962, SF Socialistisk Folkeparti
922420,7,Extremely happy,Good,NA,Once a month,164,74,Female,1976, Socialdemokraterne
922454,8,8,Good,NA,Less than once a month,170,68,Female,1991, Dansk Folkeparti
922462,Most people can be trusted,Extremely happy,Very good,NA,Once a week,160,60,Female,1968, Socialdemokraterne
922470,9,8,Fair,NA,Once a week,153,62,Female,1936, Socialdemokraterne
922501,9,8,Very good,NA,Several times a week,165,64,Female,1970, Det Radikale Venstre
922519,8,8,Good,NA,Several times a week,178,78,Male,1953, Socialdemokrat
922535,8,9,Very good,NA,2-3 times a month,176,82,Male,1964, Dansk Folkeparti
922543,2,Extremely happy,Fair,NA,Never,155,64,Female,1970, Socialdemokraterne
922569,3,3,Fair,NA,Once a month,165,58,Female,1980, SF Socialistisk Folkeparti
922577,6,9,Fair,NA,2-3 times a month,168,79,Male,1943, Socialdemokraterne
922593,Most people can be trusted,8,Fair,15,Every day,163,50,Female,1968, Det Konservative Folkeparti
922608,5,9,Very good,NA,Every day,182,80,Male,1982, Dansk Folkeparti
922616,Most people can be trusted,9,Good,NA,2-3 times a month,180,92,Male,1953,Konservative
922624,5,8,Fair,NA,Every day,163,54,Female,1954,[NA] Not applicable
922640,8,9,Very good,NA,Once a week,172,68,Female,1946, Socialdemokraterne
922658,5,Extremely happy,Good,NA,2-3 times a month,183,91,Male,1985, Dansk Folkeparti
922690,4,9,Good,5,Less than once a month,170,47,Female,1993, Socialdemokraterne
922713,7,8,Good,NA,Several times a week,166,68,Female,1947,[NA] Not applicable
922721,7,9,Good,NA,2-3 times a month,182,87,Male,1965, Socialdemokraterne
922739,8,9,Very good,15,Several times a week,192,88,Male,1968, Det Radikale Venstre
922763,5,7,Good,NA,Once a week,187,110,Male,1967,[NA] Not applicable
922771,8,8,Good,NA,Never,165,63,Female,1990,[NA] Not applicable
922789,7,8,Very good,NA,Once a month,178,102,Male,1949, Socialdemokraterne
922802,9,9,Good,NA,Less than once a month,164,64,Female,1990, Liberal Alliance
922852,2,8,Fair,NA,2-3 times a month,188,92,Male,1986, Dansk Folkeparti
922860,8,8,Very good,NA,2-3 times a month,159,64,Female,1993," Venstre, Danmarks Liberale Parti"
922886,6,5,Very good,NA,Never,160,74,Female,1932, Socialdemokrat
922894,8,Extremely happy,Very good,NA,Several times a week,168,60,Female,1964," Venstre, Danmarks Liberale Parti"
922925,9,8,Very good,15,Once a week,186,66,Male,1986, Socialdemokraterne
922933,9,9,Fair,NA,Less than once a month,160,98,Female,1965, Socialdemokrat
922941,7,2,Bad,NA,Less than once a month,185,99,Male,1991,[NA] Not applicable
922959,8,9,Good,1,Once a month,185,84,Male,1998,[NA] Not applicable
922967,8,7,Fair,NA,Once a week,185,125,Male,1977, Liberal Alliance
922975,8,8,Very good,NA,Every day,178,63,Male,1967, Det Radikale Venstre
922983,6,7,Good,15,Once a week,160,54,Female,1947,[NA] Refusal
922991,8,9,Good,NA,2-3 times a month,166,60,Female,1934, Det Radikale Venstre
923052,8,Extremely happy,Good,NA,2-3 times a month,157,62,Female,1931, Socialdemokraterne
923060,8,9,Good,NA,Several times a week,174,76,Male,1940," Venstre, Danmarks Liberale Parti"
923094,5,8,Fair,NA,2-3 times a month,165,58,Female,1986, Socialdemokrat
923109,8,9,Good,NA,Less than once a month,158,101,Female,1946,[NA] Not applicable
923125,5,8,Very good,0,2-3 times a month,178,91,Male,1987, Dansk Folkeparti
923133,9,8,Fair,3,Once a week,172,65,Female,1958, Enhedslisten
923141,7,9,Very good,NA,Several times a week,186,75,Female,1970," Venstre, Danmarks Liberale Parti"
923159,8,2,Fair,15,Several times a week,164,51.4,Female,1946, Enhedslisten
923167,3,5,Fair,20,Less than once a month,184,120,Male,1971, Socialdemokraterne
923183,5,9,Very good,10,Once a month,170,58,Female,1966," Venstre, Danmarks Liberale Parti"
923191,8,Extremely happy,Very good,NA,2-3 times a month,170,60,Female,1953," Venstre, Danmarks Liberale Parti"
923214,9,9,Very good,NA,Once a month,180,63,Male,1998,[NA] Not applicable
923256,7,9,Fair,NA,2-3 times a month,176,80,Female,1958, Socialdemokraterne
923264,6,Extremely happy,Good,NA,Several times a week,173,89,Male,1943,[NA] Refusal
923272,8,8,Very good,20,Once a week,190,81,Male,1992, Liberal Alliance
923280,9,9,Good,20,Once a week,182,105,Male,1983, Dansk Folkeparti
923329,8,8,Fair,NA,Less than once a month,162,74,Female,1969, Socialdemokraterne
923353,7,Extremely happy,Very good,NA,Several times a week,178,100.9,Male,1963," Venstre, Danmarks Liberale Parti"
923361,7,9,Good,NA,Never,176,95,Male,1984, Liberal Alliance
923379,8,8,Good,NA,2-3 times a month,166,60,Female,1967, Det Radikale Venstre
923395,8,8,Very good,NA,Several times a week,176,70,Female,1979, Det Radikale Venstre
923400,8,Extremely happy,Very good,NA,Several times a week,180,70,Male,1946, Dansk Folkeparti
923418,7,7,Good,NA,Less than once a month,168,52,Female,1963,[NA] Refusal
923426,8,8,Good,20,Once a week,184,84,Male,1991, SF Socialistisk Folkeparti
923434,5,9,Good,11,Less than once a month,164,60,Female,1968, Socialdemokraterne
923476,7,Extremely happy,Very good,NA,Once a month,168,58,Female,1995,[NA] Not applicable
923492,5,9,Good,NA,Once a week,166,60,Female,1953, SF Socialistisk Folkeparti
923523,5,9,Good,NA,Every day,172,59,Female,1945, Socialdemokraterne
923531,9,Extremely happy,Very good,NA,Several times a week,167,67,Female,1956," Venstre, Danmarks Liberale Parti"
923557,9,9,Very good,NA,Once a week,182,76,Male,1984, Det Radikale Venstre
923573,7,9,Very good,NA,2-3 times a month,155,61,Female,1987, Dansk Folkeparti
923604,5,8,Good,5,Less than once a month,189,78,Male,1989, SF Socialistisk Folkeparti
923612,9,7,Very good,2,Once a month,170,62,Male,1981,[NA] Not applicable
923620,8,Extremely happy,Good,NA,Several times a week,180,93,Male,1984, Det Konservative Folkeparti
923646,You can't be too careful,Extremely happy,Very good,8,Less than once a month,NA,NA,Female,1948,[NA] Refusal
923662,6,8,Very good,NA,2-3 times a month,163,62,Female,1976," Venstre, Danmarks Liberale Parti"
923670,6,9,Good,NA,Once a month,176,72,Male,1979, Dansk Folkeparti
923688,5,7,Fair,10,2-3 times a month,164,63,Female,1990, Dansk Folkeparti
923701,5,9,Bad,NA,Once a week,173,59,Female,1980, Socialdemokraterne
923719,7,9,Good,NA,Once a week,178,85,Male,1975," Venstre, Danmarks Liberale Parti"
923727,7,9,Good,3,2-3 times a month,160,54,Female,1940, Dansk Folkeparti
923743,9,8,Very good,2,Once a week,183,80,Male,1988,[NA] Refusal
923769,5,8,Good,NA,Several times a week,170,66,Male,1951, Socialdemokraterne
923777,6,9,Very good,NA,2-3 times a month,160,55,Female,1975," Venstre, Danmarks Liberale Parti"
923785,9,8,Very good,NA,2-3 times a month,155,60,Female,1960, Det Radikale Venstre
923793,8,Extremely happy,Very good,NA,Once a week,179,80,Male,1950," Venstre, Danmarks Liberale Parti"
923808,9,5,Very good,20,Every day,172,76,Male,1955, Socialdemokraterne
923816,7,9,Good,NA,2-3 times a month,165,70,Female,1999,[NA] Not applicable
923824,9,8,Very good,NA,Once a week,170,65,Female,1964, Det Konservative Folkeparti
923832,8,8,Very good,10,Several times a week,173,60,Male,1994,[NA] Not applicable
923858,9,9,Good,NA,2-3 times a month,180,70,Male,1977, Det Radikale Venstre
923866,7,9,Good,NA,Once a week,192,93,Male,1992, Liberal Alliance
923882,8,9,Very good,4,Every day,179,87,Male,1935," Venstre, Danmarks Liberale Parti"
923890,9,Extremely happy,Very good,NA,Once a week,173,60,Female,1996,[NA] Not applicable
923905,6,8,Good,12,Once a week,196,135,Male,1995,[NA] Not applicable
923913,7,9,Very good,NA,Every day,170,70,Male,1943, Liberal Alliance
923939,9,Extremely happy,Good,NA,Several times a week,177,107,Male,1951, Socialdemokrat
923971,9,7,Fair,NA,Never,166,82,Female,1929," Venstre, Danmarks Liberale Parti"
923989,9,7,Good,NA,2-3 times a month,180,70,Female,1959,[NA] Not applicable
923997,8,8,Very good,NA,Several times a week,190,110,Male,1954,[NA] Refusal
924024,7,8,Good,NA,Less than once a month,169,66,Female,1986,[NA] Not applicable
924032,7,Extremely happy,Fair,NA,Every day,174,72,Male,1926," Venstre, Danmarks Liberale Parti"
924040,8,9,Fair,NA,Every day,172,92,Male,1942, Det Radikale Venstre
924058,9,NA,Good,10,Once a month,164,68,Female,1949, Enhedslisten
924066,5,6,Fair,NA,Every day,175,68,Male,1927," Venstre, Danmarks Liberale Parti"
924074,8,9,Very good,NA,Several times a week,189,66,Male,1970," Venstre, Danmarks Liberale Parti"
924090,9,5,Bad,NA,Every day,178,66,Male,1957, Socialdemokraterne
924105,8,8,Good,15,Less than once a month,160,63,Female,1962, Det Radikale Venstre
924113,8,8,Very good,NA,Several times a week,197,82,Male,1997,[NA] Not applicable
924121,5,7,Very good,10,Never,188,85,Male,1990, Socialdemokrat
924139,8,8,Good,NA,Once a month,174,79,Male,1951,[NA] Don't know
924155,5,8,Good,NA,Every day,180,70,Male,1935,Konservative
924163,5,5,Good,NA,Once a week,169,63,Male,1971, Andet
924171,3,7,Very good,10,Once a week,161,65,Female,1995,[NA] Not applicable
924202,9,NA,Very bad,NA,Several times a week,170,74,Female,1970, Dansk Folkeparti
924236,8,9,Fair,NA,Several times a week,178,93,Male,1952," Venstre, Danmarks Liberale Parti"
924244,7,8,Very good,NA,Several times a week,178,90,Male,1983, Dansk Folkeparti
924252,Most people can be trusted,9,Very good,NA,Once a month,169,56,Female,1995,[NA] Not applicable
