idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
926903,9,9,Very good,NA,Every day,162,62,Female,1940, Enhedslisten
926911,8,8,Good,NA,2-3 times a month,184,79,Male,1960, SF Socialistisk Folkeparti
926929,5,2,Good,15,Every day,169,57,Female,1957, Enhedslisten
926937,7,Extremely happy,Good,NA,Every day,168,74,Female,1942, Dansk Folkeparti
926945,7,9,Fair,NA,Once a week,176,56,Female,1971," Venstre, Danmarks Liberale Parti"
926953,Most people can be trusted,8,Good,NA,Once a month,184,73,Male,1940," Venstre, Danmarks Liberale Parti"
926961,7,7,Very good,NA,Once a week,172,51,Female,1998,[NA] Not applicable
926979,7,9,Very good,NA,Once a week,183,84,Male,1992,[NA] No answer
926987,8,9,Very good,NA,Several times a week,162,64,Female,1950,[NA] Refusal
926995,8,7,Very good,10,Once a week,178,95,Male,1986, Enhedslisten
927006,7,6,Bad,NA,Less than once a month,167,72,Female,1967, Socialdemokrat
927048,7,Extremely happy,Fair,NA,Less than once a month,160,75,Female,1985, Det Konservative Folkeparti
927072,8,7,Good,NA,Several times a week,192,83,Male,1964," Venstre, Danmarks Liberale Parti"
927098,9,8,Very good,NA,Several times a week,165,55,Female,1954, SF Socialistisk Folkeparti
927111,4,4,Very bad,NA,Less than once a month,159,93,Female,1966, Socialdemokraterne
927137,Most people can be trusted,Extremely happy,Very good,18,2-3 times a month,175,90,Male,1955, Enhedslisten
927179,5,5,Good,NA,2-3 times a month,169,43,Female,1954,[NA] Don't know
927187,3,9,Good,NA,Every day,162,65,Male,1927," Venstre, Danmarks Liberale Parti"
927226,8,Extremely happy,Very good,NA,Less than once a month,182,87,Male,1974," Venstre, Danmarks Liberale Parti"
927250,8,9,Very good,NA,Several times a week,169,65,Female,1977," Venstre, Danmarks Liberale Parti"
927276,8,Extremely happy,Fair,NA,Several times a week,184,90,Male,1953," Venstre, Danmarks Liberale Parti"
927284,Most people can be trusted,8,Good,NA,Less than once a month,155,60,Female,1922, Dansk Folkeparti
927307,7,8,Good,7,Once a week,161,63,Female,1995,[NA] Not applicable
927323,8,Extremely happy,Fair,NA,Once a week,172,87,Female,1967," Venstre, Danmarks Liberale Parti"
927331,5,Extremely happy,Very good,NA,Never,181,NA,Female,1981," Venstre, Danmarks Liberale Parti"
927349,5,8,Very good,10,Once a week,188,79,Male,1974, Socialdemokraterne
927373,8,9,Good,NA,Less than once a month,172,72,Male,1987,[NA] Not applicable
927381,7,8,Fair,NA,Every day,173,82,Male,1995, Dansk Folkeparti
927399,2,7,Fair,25,Once a week,180,83,Male,1981,[NA] Not applicable
927462,Most people can be trusted,Extremely happy,Fair,10,Less than once a month,172,68,Male,1959, Det Radikale Venstre
927488,4,9,Fair,15,Less than once a month,168,74,Male,1981, Socialdemokraterne
927585,7,9,Good,NA,Once a month,175,84,Female,1986, Det Radikale Venstre
927593,4,Extremely happy,Good,NA,Once a week,170,84,Male,1967, Socialdemokraterne
927608,5,8,Very good,NA,2-3 times a month,165,66,Female,1979, Dansk Folkeparti
927616,Most people can be trusted,9,Very good,NA,2-3 times a month,188,101,Male,1941, Socialdemokrat
927624,8,8,Good,NA,Once a week,160,69,Female,1961, Det Radikale Venstre
927632,5,9,Good,NA,Never,158,64,Female,1976,[NA] Not applicable
927640,8,8,Very good,NA,Once a week,180,87,Female,1988, SF Socialistisk Folkeparti
927739,7,Extremely happy,Good,NA,Several times a week,180,89,Male,1976, Liberal Alliance
927763,5,7,Good,NA,Less than once a month,185,97,Male,1938, Dansk Folkeparti
927771,8,Extremely happy,Good,NA,Once a month,181,63,Female,1984, Enhedslisten
927828,8,9,Very good,NA,2-3 times a month,164,63,Female,1972,Konservative
927836,8,9,Very good,NA,Several times a week,172,63,Male,1967, Socialdemokraterne
927860,Most people can be trusted,9,Very good,NA,Several times a week,169,62,Female,1955, Det Konservative Folkeparti
927894,8,8,Very good,12,2-3 times a month,193,83,Male,1967,[NA] Not applicable
927933,6,8,Fair,NA,Once a week,159,51,Female,1990,[NA] Not applicable
927959,8,9,Good,NA,Every day,157,61,Female,1964, Socialdemokraterne
927967,8,8,Very good,0,Several times a week,175,82,Male,1967," Venstre, Danmarks Liberale Parti"
927983,3,8,Fair,20,Once a month,164,54,Female,1989, Det Konservative Folkeparti
928002,8,8,Fair,NA,Several times a week,146,48,Female,1935, Det Konservative Folkeparti
928028,8,6,Very good,10,Several times a week,181,75,Male,1986, Det Radikale Venstre
928044,7,2,Very bad,NA,Every day,170,59,Male,1937,[NA] Not applicable
928060,8,8,Good,12,Never,168,95,Male,1985, Socialdemokrat
928086,8,Extremely happy,Very good,NA,Several times a week,176,65,Female,1949, Liberal Alliance
928094,4,8,Good,NA,Never,162,52,Female,1998,[NA] Not applicable
928109,8,7,Good,NA,Once a week,168,67,Female,1964," Venstre, Danmarks Liberale Parti"
928125,3,8,Good,NA,2-3 times a month,183,87,Male,1968," Venstre, Danmarks Liberale Parti"
928133,7,6,Bad,NA,Less than once a month,183,82,Male,1993, Dansk Folkeparti
928167,8,7,Fair,NA,2-3 times a month,183,120,Male,1956," Venstre, Danmarks Liberale Parti"
928175,5,Extremely happy,Fair,NA,Several times a week,162,52,Female,1955, Socialdemokraterne
928248,8,9,Very good,NA,2-3 times a month,168,69,Female,1983,[NA] Don't know
928256,6,8,Very good,NA,Once a week,173,75,Male,1974," Venstre, Danmarks Liberale Parti"
928280,You can't be too careful,9,Very bad,20,Never,148,65,Female,1953," Venstre, Danmarks Liberale Parti"
928298,5,Extremely happy,Fair,NA,Less than once a month,163,NA,Female,1952,[NA] Refusal
928303,5,9,Very good,NA,Several times a week,178,73,Male,1969, Socialdemokraterne
928311,9,6,Good,NA,Less than once a month,194,94,Male,1973, Det Konservative Folkeparti
928345,6,7,Good,7,Several times a week,177,84,Male,1967, Liberal Alliance
928361,9,8,Good,NA,Once a week,166,59,Female,1955, Socialdemokrat
928379,8,8,Very good,NA,Once a month,171,58,Female,1998,[NA] Not applicable
928400,8,8,Good,NA,Once a week,167,61,Female,1969, Liberal Alliance
928418,7,6,Fair,NA,Several times a week,187,80,Male,1997,[NA] Not applicable
928434,8,6,Fair,NA,2-3 times a month,164,64,Female,1960, SF Socialistisk Folkeparti
928476,6,9,Very good,NA,2-3 times a month,180,79,Male,1964," Venstre, Danmarks Liberale Parti"
928492,5,6,Good,20,Once a week,162,80,Female,1968,[NA] Not applicable
928515,7,8,Very good,NA,Several times a week,178,89,Male,1939," Venstre, Danmarks Liberale Parti"
928565,4,Extremely happy,Very good,NA,2-3 times a month,178,88,Male,1982,[NA] Not applicable
928573,8,8,Very good,NA,Never,168,68,Female,1936, Socialdemokrat
928604,8,Extremely happy,Very good,2,Once a month,151,NA,Female,1940, Socialdemokraterne
928646,7,6,Fair,NA,Once a month,161,70,Female,1959, Det Konservative Folkeparti
928662,8,Extremely happy,Very good,NA,Once a week,176,68,Female,1973, Socialdemokraterne
928670,7,Extremely happy,Very good,NA,Several times a week,183,81,Male,1964, Liberal Alliance
928701,9,8,Very good,NA,Once a week,183,82,Male,1989, Dansk Folkeparti
928727,6,Extremely happy,Very good,NA,2-3 times a month,187,68,Male,1998,[NA] Not applicable
928735,8,Extremely happy,Very good,NA,Once a week,165,76,Female,1943, Det Radikale Venstre
928769,6,8,Good,NA,Never,155,70,Female,1981,[NA] Not applicable
928777,8,8,Good,20,2-3 times a month,189,71,Male,1972, Socialdemokrat
928785,8,9,Fair,20,Once a week,183,125,Male,1967," Venstre, Danmarks Liberale Parti"
928808,8,7,Very good,NA,Once a week,182,81,Male,1988, Socialdemokraterne
928816,7,9,Good,NA,2-3 times a month,196,105,Male,1973," Venstre, Danmarks Liberale Parti"
928824,7,Extremely happy,Very good,NA,2-3 times a month,163,56,Female,1981, Andet
928832,6,6,Good,NA,2-3 times a month,174,85,Male,1963,[NA] Not applicable
928840,3,5,Very good,NA,Less than once a month,187,98,Male,1998,[NA] Not applicable
928858,7,9,Very good,NA,2-3 times a month,185,80,Male,1998,[NA] Not applicable
928874,7,7,Very good,NA,Less than once a month,187,64,Male,1999,[NA] Not applicable
928905,6,8,Bad,20,Once a week,173,68,Male,1952, SF Socialistisk Folkeparti
928913,8,Extremely happy,Good,NA,Every day,163,71,Female,1936, Det Konservative Folkeparti
928947,5,Extremely happy,Good,20,Every day,167,75,Male,1950, SF Socialistisk Folkeparti
928955,9,Extremely happy,Very good,NA,Once a month,176,66,Male,1944, Enhedslisten
928971,8,Extremely happy,Good,NA,Once a week,168,54,Female,1946," Venstre, Danmarks Liberale Parti"
928997,5,8,Very good,25,Several times a week,175,67,Female,1988," Venstre, Danmarks Liberale Parti"
929032,7,8,Fair,NA,Once a week,164,63,Female,1951, Socialdemokraterne
929040,4,9,Very good,15,Once a week,182,76,Male,1993, Liberal Alliance
929082,8,Extremely happy,Very good,NA,Several times a week,187,120,Male,1963," Venstre, Danmarks Liberale Parti"
929090,8,9,Fair,NA,Once a month,184,89,Male,1965,[NA] Not applicable
929105,5,7,Very good,NA,2-3 times a month,158,68,Female,1981, Socialdemokraterne
929121,6,Extremely happy,Fair,NA,Every day,164,73,Male,1941, Dansk Folkeparti
929139,7,9,Fair,NA,Once a month,186,107,Male,1955, Det Konservative Folkeparti
929147,7,9,Fair,NA,Less than once a month,173,83,Male,1938,[NA] Refusal
929163,5,7,Fair,10,Once a week,167,56,Female,1941, Dansk Folkeparti
929171,You can't be too careful,Extremely happy,Fair,NA,2-3 times a month,173,88,Male,1937,[NA] Not applicable
929189,8,Extremely happy,Very good,NA,Less than once a month,178,86,Male,1963, Socialdemokraterne
929197,9,Extremely happy,Good,10,Several times a week,182,90,Male,1962,[NA] Refusal
929202,Most people can be trusted,Extremely happy,Good,NA,Once a week,167,52,Female,1994,[NA] Not applicable
929210,7,Extremely happy,Fair,NA,Several times a week,180,110,Male,1949, Socialdemokraterne
929228,9,9,Good,NA,Several times a week,182,102,Male,1938, Det Radikale Venstre
929294,7,8,Very good,NA,Never,178,67,Female,1970,[NA] Not applicable
929309,9,9,Fair,NA,Every day,167,76,Female,1950, Det Radikale Venstre
929325,8,Extremely happy,Good,NA,Less than once a month,162,76,Female,1970, Dansk Folkeparti
929359,3,8,Fair,NA,Several times a week,182,88,Male,1945, Dansk Folkeparti
929367,9,8,Good,NA,Several times a week,170,74,Female,1962," Venstre, Danmarks Liberale Parti"
929391,8,9,Fair,NA,Several times a week,163,97,Female,1951," Venstre, Danmarks Liberale Parti"
929406,7,Extremely happy,Fair,NA,Once a week,168,75,Male,1945," Venstre, Danmarks Liberale Parti"
929414,7,8,Very good,20,Several times a week,171,60,Female,1997,[NA] Not applicable
929448,Most people can be trusted,1,Good,NA,Less than once a month,172,NA,Male,1926, Socialdemokraterne
929456,8,8,Fair,NA,Less than once a month,170,70,Female,1998,[NA] Not applicable
929464,7,7,Good,NA,2-3 times a month,165,86,Female,1982, SF Socialistisk Folkeparti
929472,5,8,Fair,20,Never,163,53,Female,1958, SF Socialistisk Folkeparti
929480,7,Extremely happy,Very good,NA,2-3 times a month,169,66,Female,1958, Socialdemokraterne
929529,9,8,Good,15,Several times a week,164,77,Female,1969, Det Radikale Venstre
929537,6,9,Very good,0,Several times a week,174,64,Male,1942," Venstre, Danmarks Liberale Parti"
929545,8,7,Good,NA,Once a week,188,66,Male,1985," Venstre, Danmarks Liberale Parti"
929561,8,9,Good,NA,2-3 times a month,187,82,Male,1997,[NA] Not applicable
929587,8,7,Bad,NA,Once a week,163,78,Female,1958, Enhedslisten
929600,8,9,Fair,20,Every day,174,82,Male,1943, Andet
929626,7,7,Very good,NA,Once a month,193,72,Male,1987, Enhedslisten
929642,8,8,Good,NA,2-3 times a month,184,71,Female,1998,[NA] Not applicable
929668,5,7,Fair,NA,2-3 times a month,178,NA,Female,1970, Socialdemokraterne
929676,9,8,Good,NA,Every day,180,72,Male,1939," Venstre, Danmarks Liberale Parti"
929684,8,8,Good,17,Every day,185,72,Male,1931," Venstre, Danmarks Liberale Parti"
929692,5,7,Very good,15,2-3 times a month,193,83,Male,1986, Socialdemokrat
929707,5,8,Fair,NA,Less than once a month,180,96,Male,1947, Enhedslisten
929749,9,8,Good,NA,2-3 times a month,170,85,Male,1969, Det Radikale Venstre
929757,4,8,Good,20,Less than once a month,168,80,Male,1969,[NA] Not applicable
929781,6,8,Good,NA,Less than once a month,162,87,Female,1938, Socialdemokraterne
929799,7,8,Very good,NA,Every day,197,110,Male,1953, Det Radikale Venstre
929854,7,8,Very good,10,Once a week,176,71,Male,1992," Venstre, Danmarks Liberale Parti"
929862,9,9,Good,NA,Several times a week,175,82,Male,1952, Det Radikale Venstre
929870,9,Extremely happy,Very good,NA,Less than once a month,163,69,Female,1947, Det Konservative Folkeparti
929919,6,Extremely happy,Good,NA,Several times a week,173,66,Female,1940, Socialdemokrat
929951,8,9,Very good,NA,Once a week,177,66,Female,1976, Det Radikale Venstre
929977,4,8,Very good,15,2-3 times a month,175,75,Male,1985, Liberal Alliance
929985,7,8,Good,0,Several times a week,172,76,Female,1969," Venstre, Danmarks Liberale Parti"
929993,8,Extremely happy,Very good,NA,Once a month,184,73,Male,1997,[NA] Not applicable
930023,5,5,Fair,NA,Every day,185,67,Male,1946, SF Socialistisk Folkeparti
930049,7,9,Good,NA,Once a month,175,64,Female,1997,[NA] Not applicable
930057,8,Extremely happy,Very good,NA,Several times a week,173,58,Female,1968," Venstre, Danmarks Liberale Parti"
930104,5,9,Bad,20,Several times a week,181,85,Male,1946,Konservative
930112,8,9,Very good,NA,Once a week,194,71,Male,1963," Venstre, Danmarks Liberale Parti"
930154,4,7,Good,6,Once a month,182,81,Male,1988, Det Radikale Venstre
930170,7,Extremely happy,Very good,9,Less than once a month,195,120,Male,1982, Det Radikale Venstre
930196,7,7,Good,NA,2-3 times a month,175,56,Male,1941, Dansk Folkeparti
930219,8,Extremely happy,Good,NA,Once a week,179,83,Male,1962," Venstre, Danmarks Liberale Parti"
930227,7,8,Very good,0,2-3 times a month,170,73,Female,1973, Det Radikale Venstre
930285,4,6,Fair,NA,Several times a week,177,76,Male,1977,[NA] Not applicable
930293,You can't be too careful,4,Bad,10,Every day,160,42,Female,1945, Socialdemokraterne
930316,4,1,Bad,10,Every day,174,75,Male,1947, Socialdemokrat
930324,5,7,Very good,NA,Every day,168,85,Male,1941, Socialdemokraterne
930332,8,9,Good,NA,Once a week,178,89,Male,1985,[NA] Don't know
930374,9,9,Very good,NA,Several times a week,158,61,Female,1964, SF Socialistisk Folkeparti
930382,4,6,Fair,NA,Never,175,90,Female,1983, Dansk Folkeparti
930413,5,6,Very good,NA,Several times a week,164,53,Female,1973, Dansk Folkeparti
930439,7,8,Very good,1,Once a week,182,75,Male,1980," Venstre, Danmarks Liberale Parti"
930497,7,8,Good,NA,2-3 times a month,175,76,Female,1987, Dansk Folkeparti
930510,8,8,Good,NA,Every day,190,103,Male,1960," Venstre, Danmarks Liberale Parti"
930528,5,8,Very good,NA,Several times a week,178,72,Male,1978,[NA] Not applicable
930578,7,9,Good,NA,Once a month,166,71,Female,1952, Socialdemokraterne
930594,7,Extremely happy,Very good,NA,2-3 times a month,176,114,Female,1965," Venstre, Danmarks Liberale Parti"
930625,7,8,Good,NA,Once a week,161,68,Female,1986, Dansk Folkeparti
930633,3,8,Very good,NA,Less than once a month,160,60,Female,1979,[NA] Not applicable
930659,8,7,Good,4,Less than once a month,176,80,Female,1969," Venstre, Danmarks Liberale Parti"
930667,5,Extremely happy,Good,NA,Once a week,170,70,Male,1932," Venstre, Danmarks Liberale Parti"
930714,8,9,Good,NA,Less than once a month,169,66,Female,1977, Socialdemokraterne
930730,Most people can be trusted,9,Good,NA,Several times a week,160,84,Female,1974, Dansk Folkeparti
930772,6,7,Very bad,3,2-3 times a month,168,40,Female,1957, Socialdemokraterne
930780,7,9,Very good,NA,Once a week,204,112,Male,1983," Venstre, Danmarks Liberale Parti"
930811,8,Extremely happy,Very good,NA,Several times a week,175,95,Male,1937, Det Konservative Folkeparti
930829,7,9,Bad,NA,Once a week,185,116,Male,1958, Dansk Folkeparti
930845,7,9,Good,NA,Once a month,174,96,Male,1976, Socialdemokraterne
930853,5,8,Fair,NA,2-3 times a month,168,69,Female,1947," Venstre, Danmarks Liberale Parti"
930879,7,9,Fair,NA,Several times a week,182,82,Male,1965," Venstre, Danmarks Liberale Parti"
930887,8,8,Good,NA,2-3 times a month,192,84,Male,1979," Venstre, Danmarks Liberale Parti"
930926,8,Extremely happy,Good,NA,Several times a week,174,83,Male,1948, SF Socialistisk Folkeparti
930942,8,Extremely happy,Fair,NA,Several times a week,163,55,Female,1950,[NA] Not applicable
930968,8,8,Good,NA,Once a week,168,60,Female,1964, Det Konservative Folkeparti
930976,5,Extremely happy,Good,NA,Less than once a month,163,56,Female,1995," Venstre, Danmarks Liberale Parti"
930984,6,Extremely happy,Very good,NA,Once a week,163,69,Female,1973," Venstre, Danmarks Liberale Parti"
930992,9,9,Very good,NA,Several times a week,177,84,Male,1975, Det Radikale Venstre
931003,8,7,Good,NA,Once a week,168,74,Male,1980, Det Radikale Venstre
931011,6,6,Good,NA,Never,184,78,Male,1978, Det Konservative Folkeparti
931029,5,7,Good,15,Less than once a month,190,84,Male,1959, Enhedslisten
931037,9,5,Good,10,2-3 times a month,180,86,Male,1961, Socialdemokrat
931087,9,9,Good,NA,Once a week,165,71,Female,1989," Venstre, Danmarks Liberale Parti"
931095,2,6,Bad,NA,2-3 times a month,167,86,Female,1949," Venstre, Danmarks Liberale Parti"
931118,8,7,Good,4,Several times a week,177,63,Female,1967," Venstre, Danmarks Liberale Parti"
931126,8,Extremely happy,Very good,NA,Less than once a month,162,81,Female,1961, Dansk Folkeparti
931134,7,6,Bad,NA,Never,159,75,Female,1936,[NA] Not applicable
931142,8,9,Fair,NA,Once a month,168,65,Female,1939, SF Socialistisk Folkeparti
931150,8,9,Very good,NA,Once a week,187,86,Male,1985, Socialdemokraterne
931192,9,Extremely happy,Very good,NA,Several times a week,162,64,Female,1953, Socialdemokraterne
931207,6,7,Fair,NA,Once a month,180,79,Male,1989,[NA] Not applicable
931249,3,8,Very good,NA,Several times a week,176,66,Male,1975, SF Socialistisk Folkeparti
931281,5,7,Good,NA,2-3 times a month,186,83,Male,1988, Liberal Alliance
931299,7,6,Good,15,Once a month,183,88,Male,1991, Enhedslisten
931304,8,9,Good,NA,2-3 times a month,163,54,Female,1970, Socialdemokrat
931320,7,8,Very good,20,Once a week,185,81,Male,1974," Venstre, Danmarks Liberale Parti"
931338,8,8,Good,NA,Several times a week,175,53,Female,1965, Det Radikale Venstre
931354,6,8,Good,0,Once a week,165,54,Male,1998,[NA] Not applicable
931370,7,7,Fair,NA,Several times a week,162,84,Female,1939, Socialdemokraterne
931396,5,8,Good,NA,Several times a week,167,50,Female,1930, Socialdemokraterne
931419,7,Extremely happy,Good,4,Every day,175,72,Male,1951, Socialdemokraterne
931435,8,9,Very good,NA,Once a week,181,70,Male,1976, Enhedslisten
931443,5,Extremely happy,Good,NA,Several times a week,185,66,Male,1990,[NA] Refusal
931469,Most people can be trusted,9,Good,NA,Less than once a month,168,75,Female,1953, SF Socialistisk Folkeparti
931493,5,6,Bad,20,Less than once a month,167,98,Male,1946, Dansk Folkeparti
931540,8,9,Good,NA,2-3 times a month,164,56,Female,1971, Socialdemokraterne
931566,Most people can be trusted,9,Fair,9,Every day,160,47,Female,1946," Venstre, Danmarks Liberale Parti"
931574,7,Extremely happy,Fair,NA,Once a week,166,67,Male,1938, Socialdemokraterne
931605,1,NA,NA,NA,NA,NA,NA,Male,1936, Socialdemokraterne
931621,8,Extremely happy,Good,NA,2-3 times a month,162,86,Female,1938," Venstre, Danmarks Liberale Parti"
931639,Most people can be trusted,8,Fair,NA,Once a week,178,67,Female,1966, Socialdemokrat
931647,7,8,Good,10,2-3 times a month,170,70,Female,1987,[NA] Not applicable
931663,8,8,Very good,NA,Less than once a month,184,80,Male,1965, Liberal Alliance
931689,9,9,Good,15,Once a month,186,85,Male,1972, Det Radikale Venstre
931697,8,9,Very good,NA,2-3 times a month,150,52,Female,1946," Venstre, Danmarks Liberale Parti"
931728,5,3,Very good,1,Never,179,56,Male,1983, Andet
931736,9,Extremely happy,Very good,NA,Once a week,175,80,Female,1965, SF Socialistisk Folkeparti
931744,7,7,Fair,10,Every day,172,57,Female,1953, SF Socialistisk Folkeparti
931794,5,Extremely happy,Very good,NA,NA,NA,NA,Male,1990, Dansk Folkeparti
931817,5,Extremely happy,Good,NA,Several times a week,167,65,Female,1945, Socialdemokraterne
931825,7,9,Very good,NA,Once a month,173,74,Male,1994,[NA] Not applicable
931833,8,9,Very good,NA,Once a week,184,70,Female,1993, SF Socialistisk Folkeparti
931841,7,7,Very good,10,Several times a week,187,85,Male,1992,[NA] No answer
931867,5,9,Very good,5,Once a month,168,58,Female,1994,[NA] Not applicable
931906,5,Extremely happy,Very good,0,Never,179,62,Male,1938, Det Konservative Folkeparti
931930,5,Extremely happy,Very good,NA,Several times a week,162,65,Female,1949, Dansk Folkeparti
931948,7,8,Very good,NA,Several times a week,176,72,Male,1949," Venstre, Danmarks Liberale Parti"
931964,8,Extremely happy,Very good,NA,Less than once a month,165,60,Female,1984," Venstre, Danmarks Liberale Parti"
932025,1,8,Good,NA,Several times a week,170,80,Female,1944, Socialdemokraterne
932033,5,9,Very good,NA,2-3 times a month,157,78,Female,1968, Socialdemokraterne
932041,7,9,Very good,NA,2-3 times a month,179,84,Male,1954,[NA] Not applicable
932059,4,5,Good,7,2-3 times a month,160,61,Female,1983,[NA] Not applicable
932067,5,6,Fair,NA,Never,188,137,Male,1966, Enhedslisten
932083,7,Extremely happy,Good,NA,Every day,160,44,Female,1934,[NA] Not applicable
932091,6,9,Very good,NA,Several times a week,178,82,Male,1985," Venstre, Danmarks Liberale Parti"
932106,8,9,Good,NA,Less than once a month,170,NA,Female,1975, Kristendemokraterne
932130,2,9,Good,NA,Several times a week,178,77,Male,1971, Liberal Alliance
932148,8,9,Very good,NA,Several times a week,167,51,Female,1944,[NA] Not applicable
932156,3,2,Very good,NA,Never,173,74,Female,1969,[NA] Not applicable
932180,8,7,Very good,NA,Once a month,187,70,Male,1989, Socialdemokraterne
932229,8,Extremely happy,Very good,20,Less than once a month,187,75,Male,1993, Det Konservative Folkeparti
932237,8,8,Good,NA,Several times a week,176,82,Male,1946," Venstre, Danmarks Liberale Parti"
932245,9,8,Good,NA,Every day,174,76,Male,1956, Det Radikale Venstre
932253,8,7,Very good,NA,Several times a week,170,57,Female,1971, Det Radikale Venstre
932261,7,Extremely happy,Very good,NA,2-3 times a month,180,85,Male,1996,[NA] Not applicable
932287,9,9,Good,NA,Less than once a month,167,48,Female,1993," Venstre, Danmarks Liberale Parti"
932318,You can't be too careful,9,Good,NA,2-3 times a month,180,77,Male,1965, Andet
932368,9,9,Good,NA,Several times a week,160,75,Female,1972, Det Radikale Venstre
932407,3,9,Very good,NA,2-3 times a month,184,66,Male,1998,[NA] Not applicable
932481,5,8,Very good,12,Several times a week,180,75,Male,1985, Dansk Folkeparti
932499,5,Extremely happy,Fair,NA,2-3 times a month,166,108,Female,1953, SF Socialistisk Folkeparti
932504,8,8,Good,0,2-3 times a month,172,67,Male,1976," Venstre, Danmarks Liberale Parti"
932512,8,7,Very good,NA,2-3 times a month,172,75,Female,1958, SF Socialistisk Folkeparti
932520,5,8,Fair,NA,Every day,160,72,Female,1957,[NA] Not applicable
932538,7,9,Very good,NA,Once a week,175,69,Female,1949," Venstre, Danmarks Liberale Parti"
932546,7,8,Bad,10,Several times a week,186,66,Male,1955, Enhedslisten
932562,8,Extremely happy,Very good,NA,Several times a week,167,78,Female,1955, Socialdemokraterne
932570,8,Extremely happy,Good,NA,Several times a week,160,56,Female,1949, Det Konservative Folkeparti
932588,4,9,Very good,NA,Once a month,179,78,Male,1989, Liberal Alliance
932596,9,Extremely happy,Very good,NA,Every day,158,48,Female,1960, Socialdemokraterne
932601,7,8,Good,20,Once a week,183,86,Male,1948, Socialdemokraterne
932643,8,Extremely happy,Very good,20,Less than once a month,177,80,Male,1991, SF Socialistisk Folkeparti
932651,1,8,Very good,NA,2-3 times a month,187,79,Male,1997,[NA] Not applicable
932669,8,9,Good,NA,Several times a week,182,85,Female,1986," Venstre, Danmarks Liberale Parti"
932677,Most people can be trusted,9,Very good,NA,Never,185,80,Male,1953, SF Socialistisk Folkeparti
932685,3,3,Bad,NA,NA,165,55,Female,1925,[NA] Not applicable
932708,9,9,Good,NA,Several times a week,178,92,Male,1951," Venstre, Danmarks Liberale Parti"
932716,3,8,Good,NA,Several times a week,166,71,Female,1940, Det Konservative Folkeparti
932724,5,9,Good,NA,Once a week,167,66,Female,1951, Socialdemokraterne
932732,7,8,Fair,NA,2-3 times a month,174,88,Female,1968, Det Radikale Venstre
932758,9,8,Good,NA,Once a week,165,51,Female,1926, Socialdemokraterne
932766,8,3,Bad,2,Once a month,188,70,Male,1987, SF Socialistisk Folkeparti
932774,8,7,Good,NA,Several times a week,155,77,Female,1960, SF Socialistisk Folkeparti
932855,3,9,Very good,NA,Less than once a month,160,50,Female,1999,[NA] Not applicable
932871,2,5,Fair,2,Several times a week,175,68,Male,1942, Socialdemokraterne
932889,9,8,Good,NA,2-3 times a month,175,NA,Female,1968," Venstre, Danmarks Liberale Parti"
932897,You can't be too careful,7,Fair,10,Several times a week,187,110,Male,1993, Liberal Alliance
932902,8,9,Fair,NA,Once a week,173,63,Male,1931," Venstre, Danmarks Liberale Parti"
932910,8,8,Good,NA,Several times a week,180,66,Female,1956," Venstre, Danmarks Liberale Parti"
932928,6,8,Very good,NA,Every day,185,94,Male,1950,[NA] Refusal
932978,5,7,Fair,NA,Less than once a month,163,62,Female,1971, Dansk Folkeparti
933005,7,Extremely happy,Very good,NA,Once a week,167,75,Female,1956, Socialdemokrat
933013,8,8,Good,NA,Less than once a month,191,97,Male,1972, Enhedslisten
933021,9,8,Good,NA,Once a week,160,57,Female,1948, SF Socialistisk Folkeparti
933039,8,8,Very good,NA,Once a month,172,72,Male,1965," Venstre, Danmarks Liberale Parti"
933071,8,Extremely happy,Fair,NA,Once a month,200,120,Male,1980," Venstre, Danmarks Liberale Parti"
933097,8,8,Good,NA,Once a week,172,77,Male,1972," Venstre, Danmarks Liberale Parti"
933110,3,9,Good,20,2-3 times a month,193,94,Male,1988, Dansk Folkeparti
933128,8,8,Fair,20,Once a week,174,71,Male,1949, SF Socialistisk Folkeparti
933144,8,9,Good,NA,2-3 times a month,190,72,Male,1993,[NA] Not applicable
933160,8,8,Good,NA,Every day,184,86,Male,1960, Det Konservative Folkeparti
933178,9,7,Fair,20,Several times a week,187,93,Male,1951,[NA] Not applicable
933186,5,8,Very good,NA,Never,162,58,Female,1968, Enhedslisten
933209,9,Extremely happy,Good,NA,Every day,182,75,Male,1992, Det Radikale Venstre
933233,8,9,Good,NA,Once a week,182,70,Male,1994,[NA] Not applicable
933259,9,8,Good,NA,Once a week,172,75,Male,1955, Socialdemokraterne
933275,8,8,Fair,NA,2-3 times a month,171,72,Female,1938, Dansk Folkeparti
933291,Most people can be trusted,Extremely happy,Good,NA,Never,161,53,Male,1953,[NA] Not applicable
933322,8,7,Good,NA,Less than once a month,180,74,Male,1965, Dansk Folkeparti
933348,7,9,Good,NA,Once a week,173,80,Male,1995,[NA] Not applicable
933372,7,9,Good,NA,Once a week,178,88,Male,1971, Det Radikale Venstre
933398,7,8,Fair,15,Never,169,70,Male,1985, Enhedslisten
933403,8,Extremely happy,Very good,10,2-3 times a month,158,52,Female,1967, Det Radikale Venstre
933429,8,9,Fair,NA,2-3 times a month,166,65,Female,1953,[NA] Not applicable
933445,8,7,Good,NA,Once a week,183,85,Male,1989, Det Radikale Venstre
